,Week Ending,Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Submitted Data,Passed Quality Assurance Check,Residents Weekly Admissions COVID-19,Residents Total Admissions COVID-19,Residents Weekly Confirmed COVID-19,Residents Total Confirmed COVID-19,Residents Weekly Suspected COVID-19,Residents Total Suspected COVID-19,Residents Weekly All Deaths,Residents Total All Deaths,Residents Weekly COVID-19 Deaths,Residents Total COVID-19 Deaths,Number of All Beds,Total Number of Occupied Beds,Resident Access to Testing in Facility,Laboratory Type Is State Health Dept,Laboratory Type Is Private Lab,Laboratory Type Is Other,Able to Test or Obtain Resources to Test All Current Residents Within Next 7 Days,Reason for Not Testing Residents - Lack of PPE for Personnel ,Reason for Not Testing Residents - Lack of Supplies,Reason for Not Testing Residents  - Lack of Access to Laboratory,Reason for Not Testing Residents - Lack of Access to Trained Personnel ,Reason for Not Testing Residents  - Uncertainty About Reimbursement,Reason for Not Testing Residents  - Other,During Past Two Weeks Average Time to Receive Resident Test Results,Has Facility Performed Resident Tests Since Last Report,Tested Residents with New Signs or Symptoms,Tested Asymptomatic Residents in a Unit or Section After a New Case,Tested Asymptomatic Residents Facility-Wide After a New Case,Tested Asymptomatic Residents Without Known Exposure as Surveillance,Tested Another Subgroup of Residents,Able to Test or Obtain Resources to Test All Staff and/or Personnel Within Next 7 Days,Reason for Not Testing Staff and/or Personnel - Lack of PPE for Personnel ,Reason for Not Testing Staff and/or Personnel - Lack of Supplies,Reason for Not Testing Staff and/or Personnel - Lack of Access to Laboratory,Reason for Not Testing Staff and/or Personnel  - Lack of Access to Trained Personnel ,Reason for Not Testing Staff and/or Personnel - Uncertainty About Reimbursement,Reason for Not Testing Staff and/or Personnel - Other,During Past Two Weeks Average Time to Receive Staff and/or Personnel Test Results,Has Facility Performed Staff and/or Personnel Tests Since Last Report,Tested Staff and/or Personnel with New Signs or Symptoms,Tested Asymptomatic Staff and/or Personnel in a Unit or Section After a New Case,Tested Asymptomatic Staff and/or Personnel Facility-Wide After a New Case,Tested Asymptomatic Staff and/or Personnel Without Known Exposure as Surveillance,Tested Another Subgroup of Staff and/or Personnel,In-House Point-of-Care Test Machine,COVID-19 Point-of-Care Tests Performed on Residents Since Last Report,COVID-19 Point-of-Care Tests Performed on Staff and/or Personnel Since Last Report,Enough Supplies to Test All Staff and/or Personnel Using Point-of-Care Test Machine,Staff Weekly Confirmed COVID-19,Staff Total Confirmed COVID-19,Staff Weekly Suspected COVID-19,Staff Total Suspected COVID-19,Staff Weekly COVID-19 Deaths,Staff Total COVID-19 Deaths,Shortage of Nursing Staff,Shortage of Clinical Staff,Shortage of Aides,Shortage of Other Staff,Any Current Supply of N95 Masks,One-Week Supply of N95 Masks,Any Current Supply of Surgical Masks,One-Week Supply of Surgical Masks,Any Current Supply of Eye Protection,One-Week Supply of Eye Protection,Any Current Supply of Gowns,One-Week Supply of Gowns,Any Current Supply of Gloves,One-Week Supply of Gloves,Any Current Supply of Hand Sanitizer,One-Week Supply of Hand Sanitizer,Ventilator Dependent Unit,Number of Ventilators in Facility,Number of Ventilators in Use for COVID-19,Any Current Supply of Ventilator Supplies,One-Week Supply of Ventilator Supplies,"Weekly Resident Confirmed COVID-19 Cases Per 1,000 Residents","Weekly Resident COVID-19 Deaths Per 1,000 Residents","Total Resident Confirmed COVID-19 Cases Per 1,000 Residents","Total Resident COVID-19 Deaths Per 1,000 Residents",Total Residents COVID-19 Deaths as a Percentage of Confirmed COVID-19 Cases,County,Three or More Confirmed COVID-19 Cases This Week,Initial Confirmed COVID-19 Case This Week,Geolocation,Reporting Interval
99399,2020-12-13,145875,WARREN BARR LINCOLN PARK,2732 NORTH HAMPDEN COURT,CHICAGO,IL,60614,Y,Y,0.0,55.0,0.0,44.0,,6.0,0.0,26.0,0.0,11.0,89.0,68.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,2.0,31.0,0.0,5.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,647.1,161.8,25.0,Cook,N,N,POINT (-87.642214 41.931911),Week 30 - Dec 13
99401,2020-12-13,146033,"ELMS, THE",1212 MADELYN AVENUE,MACOMB,IL,61455,Y,Y,0.0,7.0,0.0,49.0,,38.0,0.0,38.0,0.0,16.0,98.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,35.0,0.0,56.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,1113.6,363.6,32.7,McDonough,N,N,POINT (-90.66115 40.445409),Week 30 - Dec 13
99453,2020-12-13,145748,MONTGOMERY PLACE,5550 SOUTH SHORE DRIVE,CHICAGO,IL,60637,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cook,,,POINT (-87.580433 41.79387),Week 30 - Dec 13
99455,2020-12-13,145768,"LUTHERAN HOME, THE",6901 NORTH GALENA ROAD,PEORIA,IL,61614,Y,Y,0.0,2.0,3.0,7.0,,8.0,1.0,17.0,0.0,1.0,89.0,67.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,60.0,130.0,,0.0,29.0,0.0,37.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,44.8,0.0,104.5,14.9,14.3,Peoria,Y,N,POINT (-89.57255100000002 40.770297),Week 30 - Dec 13
99478,2020-12-13,145961,HEDDINGTON OAKS,2223 WEST HEDDING AVENUE,PEORIA,IL,61604,N,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Peoria,,,POINT (-89.628295 40.699783),Week 30 - Dec 13
99665,2020-12-13,146017,ILLINI HERITAGE REHAB & HC,1315B CURT DRIVE,CHAMPAIGN,IL,61820,Y,Y,0.0,5.0,0.0,35.0,,1.0,1.0,16.0,1.0,6.0,57.0,30.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,0.0,27.0,0.0,2.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,33.3,1166.7,200.0,17.1,Champaign,N,N,POINT (-88.268481 40.140124),Week 30 - Dec 13
99668,2020-12-13,146070,TWIN WILLOWS NURSING CENTER,"1600 NORTH BROADWAY, PO BOX 370",SALEM,IL,62881,Y,Y,0.0,1.0,0.0,1.0,,1.0,0.0,12.0,0.0,0.0,72.0,32.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,0.0,5.0,0.0,3.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,31.3,0.0,0.0,Marion,N,N,,Week 30 - Dec 13
99707,2020-12-13,145718,SYMPHONY OF CRESTWOOD,14255 SOUTH CICERO AVENUE,CRESTWOOD,IL,60445,Y,Y,3.0,51.0,0.0,21.0,,33.0,0.0,25.0,0.0,11.0,303.0,163.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,144.0,251.0,,2.0,17.0,0.0,4.0,0.0,0.0,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,128.8,67.5,52.4,Cook,N,N,,Week 30 - Dec 13
99747,2020-12-13,145669,ELEVATE CARE WAUKEGAN,2222 WEST 14TH STREET,WAUKEGAN,IL,60085,Y,Y,2.0,26.0,2.0,8.0,,4.0,1.0,2.0,0.0,0.0,271.0,173.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,2.0,,1.0,14.0,0.0,14.0,0.0,0.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,10.0,6.0,Y,Y,11.6,0.0,46.2,0.0,0.0,Lake,N,N,POINT (-87.861326 42.334174),Week 30 - Dec 13
99865,2020-12-13,145999,GROSSE POINTE MANOR,6601 WEST TOUHY AVENUE,NILES,IL,60714,Y,Y,0.0,16.0,1.0,73.0,,19.0,0.0,28.0,0.0,17.0,99.0,66.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,0.0,40.0,0.0,4.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,15.2,0.0,1106.1,257.6,23.3,Cook,N,N,POINT (-87.792973 42.012012),Week 30 - Dec 13
99874,2020-12-13,145679,"CARLTON AT THE LAKE, THE",725 WEST MONTROSE AVENUE,CHICAGO,IL,60613,Y,Y,0.0,70.0,0.0,90.0,,56.0,1.0,53.0,0.0,13.0,244.0,178.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,0.0,36.0,0.0,57.0,0.0,2.0,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,13.0,0.0,Y,Y,0.0,0.0,505.6,73.0,14.4,Cook,N,N,POINT (-87.648592 41.96189),Week 30 - Dec 13
99879,2020-12-13,146096,RIDGEVIEW CARE CENTER,413 RIDGE LANE,OBLONG,IL,62449,Y,Y,0.0,1.0,0.0,44.0,,4.0,2.0,11.0,2.0,11.0,55.0,35.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,0.0,46.0,0.0,4.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,57.1,1257.1,314.3,25.0,Crawford,N,N,POINT (-87.90491 38.995475),Week 30 - Dec 13
99900,2020-12-13,145932,CITADEL CARE CENTER-WILMETTE,432 POPLAR DRIVE,WILMETTE,IL,60091,Y,Y,1.0,39.0,0.0,23.0,,5.0,1.0,14.0,0.0,3.0,62.0,58.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,5.0,10.0,,0.0,12.0,0.0,1.0,0.0,1.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,396.6,51.7,13.0,Cook,N,N,POINT (-87.705245 42.072903),Week 30 - Dec 13
99949,2020-12-13,145671,"VILLA AT SOUTH HOLLAND, THE",16300 WAUSAU STREET,SOUTH HOLLAND,IL,60473,N,,0.0,19.0,0.0,41.0,,19.0,0.0,39.0,0.0,8.0,171.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,18.0,0.0,6.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,414.1,80.8,19.5,Cook,,,POINT (-87.611161 41.598203),Week 30 - Dec 13
100049,2020-12-13,146091,MANOR COURT OF PERU,3230 BECKER DRIVE,PERU,IL,61354,Y,Y,1.0,9.0,1.0,91.0,,48.0,1.0,47.0,0.0,31.0,130.0,68.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,1.0,5.0,,0.0,65.0,0.0,122.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,14.7,0.0,1338.2,455.9,34.1,LaSalle,N,N,POINT (-89.121076 41.34994),Week 30 - Dec 13
100063,2020-12-13,146077,PARK POINTE HEALTHCARE & REHAB,1223 EDGEWATER,MORRIS,IL,60450,Y,Y,0.0,6.0,0.0,25.0,,0.0,0.0,36.0,0.0,4.0,145.0,80.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,17.0,0.0,,1.0,18.0,0.0,18.0,0.0,0.0,N,N,N,Y,Y,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,,,,,0.0,0.0,312.5,50.0,16.0,Grundy,N,N,POINT (-88.44765 41.367484),Week 30 - Dec 13
100091,2020-12-13,146063,HERITAGE HEALTH-WALNUT,308 SOUTH SECOND STREET,WALNUT,IL,61376,Y,Y,0.0,1.0,0.0,0.0,,8.0,0.0,16.0,0.0,0.0,62.0,42.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,3.0,61.0,,0.0,2.0,0.0,6.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,0.0,0.0,,Bureau,N,N,POINT (-89.598241 41.553725),Week 30 - Dec 13
100100,2020-12-13,145688,PRINCETON REHAB & HCC,255 WEST 69TH STREET,CHICAGO,IL,60621,Y,Y,0.0,4.0,1.0,9.0,,9.0,0.0,9.0,0.0,5.0,225.0,129.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,2.0,7.0,0.0,1.0,0.0,0.0,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,7.8,0.0,69.8,38.8,55.6,Cook,N,N,POINT (-87.631849 41.769049),Week 30 - Dec 13
100101,2020-12-13,146050,ARCOLA HEALTH CARE CENTER,422 EAST FOURTH STREET,ARCOLA,IL,61910,Y,Y,0.0,0.0,7.0,7.0,,0.0,0.0,8.0,0.0,0.0,100.0,66.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,7.0,0.0,,2.0,8.0,0.0,23.0,0.0,0.0,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,106.1,0.0,106.1,0.0,0.0,Douglas,Y,Y,,Week 30 - Dec 13
100119,2020-12-13,145847,STEARNS NURSING & REHAB CENTER,3900 STEARNS AVENUE,GRANITE CITY,IL,62040,Y,Y,0.0,22.0,2.0,64.0,,5.0,1.0,32.0,0.0,16.0,109.0,70.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,70.0,55.0,,0.0,35.0,0.0,5.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,28.6,0.0,914.3,228.6,25.0,Madison,N,N,POINT (-90.100964 38.730173),Week 30 - Dec 13
100149,2020-12-13,145843,MILLER HEALTH CARE CENTER,1601 BUTTERFIELD TRAIL,KANKAKEE,IL,60901,Y,Y,3.0,18.0,1.0,78.0,,0.0,2.0,67.0,1.0,25.0,160.0,80.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,3.0,236.0,,4.0,104.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,12.5,12.5,975.0,312.5,32.1,Kankakee,N,N,POINT (-87.887754 41.124347),Week 30 - Dec 13
100156,2020-12-13,145942,OAK LAWN RESPIRATORY & REHAB,9525 SOUTH MAYFIELD,OAK LAWN,IL,60453,Y,Y,1.0,24.0,0.0,16.0,,9.0,0.0,7.0,0.0,4.0,143.0,44.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,80.0,,0.0,12.0,0.0,1.0,0.0,0.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,363.6,90.9,25.0,Cook,N,N,,Week 30 - Dec 13
100174,2020-12-13,145648,CENTRAL NURSING HOME,2450 NORTH CENTRAL AVENUE,CHICAGO,IL,60639,Y,Y,0.0,18.0,1.0,14.0,,16.0,0.0,9.0,0.0,4.0,245.0,196.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,2.0,,0.0,6.0,0.0,4.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,5.1,0.0,71.4,20.4,28.6,Cook,N,N,POINT (-87.766044 41.925456),Week 30 - Dec 13
100188,2020-12-13,145965,VILLA CLARA POST ACUTE,500 WEST MCKINLEY AVENUE,DECATUR,IL,62526,Y,Y,2.0,59.0,0.0,65.0,,7.0,0.0,35.0,0.0,17.0,150.0,75.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,0.0,67.0,0.0,10.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,866.7,226.7,26.2,Macon,N,N,POINT (-88.961702 39.86938800000001),Week 30 - Dec 13
100194,2020-12-13,146025,CLINTON MANOR LIVING CENTER,111 EAST ILLINOIS STREET,NEW BADEN,IL,62265,Y,Y,0.0,1.0,0.0,20.0,,15.0,0.0,2.0,0.0,0.0,33.0,23.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,1.0,,1.0,9.0,0.0,21.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,869.6,0.0,0.0,Clinton,N,N,POINT (-89.692394 38.534113),Week 30 - Dec 13
100214,2020-12-13,145990,SYMPHONY MAPLE CREST,4452 SQUAW PRAIRIE ROAD,BELVIDERE,IL,61008,Y,Y,0.0,0.0,10.0,61.0,,15.0,11.0,45.0,10.0,11.0,86.0,57.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,33.0,2.0,,3.0,32.0,0.0,17.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,175.4,175.4,1070.2,193.0,18.0,Boone,Y,N,POINT (-88.852846 42.291222),Week 30 - Dec 13
100253,2020-12-13,145891,CARRIAGE REHAB & HEALTHCARE,1660 SOUTH MULFORD,ROCKFORD,IL,61108,Y,Y,0.0,0.0,52.0,94.0,,30.0,4.0,46.0,4.0,4.0,120.0,62.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,12.0,33.0,,10.0,38.0,0.0,0.0,2.0,2.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,838.7,64.5,1516.1,64.5,4.3,Winnebago,Y,N,POINT (-88.999665 42.251732),Week 30 - Dec 13
100263,2020-12-13,146036,SHAWNEE SENIOR LIVING,1901 13TH STREET,HERRIN,IL,62948,Y,Y,1.0,18.0,0.0,71.0,,0.0,1.0,38.0,0.0,14.0,148.0,78.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,0.0,50.0,0.0,6.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,910.3,179.5,19.7,Williamson,N,N,POINT (-89.025405 37.821002),Week 30 - Dec 13
100325,2020-12-13,145853,CENTRAL BAPTIST VILLAGE,4747 NORTH CANFIELD AVENUE,NORRIDGE,IL,60656,Y,N,0.0,0.0,13.0,45.0,,1.0,5.0,38.0,4.0,4.0,120.0,94.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,1.0,1.0,,5.0,33.0,0.0,11.0,0.0,2.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,138.3,42.6,478.7,42.6,8.9,Cook,Y,N,,Week 30 - Dec 13
100353,2020-12-13,145743,WEST SUBURBAN MEDICAL CTR,3 ERIE COURT,OAK PARK,IL,60302,Y,Y,0.0,39.0,0.0,7.0,,15.0,0.0,0.0,0.0,0.0,50.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,16.0,0.0,8.0,0.0,0.0,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,875.0,0.0,0.0,Cook,N,N,POINT (-87.777471 41.89184),Week 30 - Dec 13
100381,2020-12-13,145958,BETHANY REHAB & HCC,3298 RESOURCE PARKWAY,DEKALB,IL,60115,Y,Y,1.0,2.0,13.0,29.0,,12.0,1.0,38.0,1.0,1.0,90.0,62.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,6.0,7.0,,8.0,38.0,0.0,3.0,0.0,0.0,N,N,N,N,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,209.7,16.1,467.7,16.1,3.4,DeKalb,Y,N,POINT (-88.726192 41.967828),Week 30 - Dec 13
100384,2020-12-13,146045,HELIA HEALTHCARE OF ENERGY,"210 EAST COLLEGE, PO BOX 519",ENERGY,IL,62933,Y,Y,0.0,1.0,1.0,9.0,,0.0,3.0,12.0,2.0,3.0,91.0,38.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,1.0,10.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,,,,,26.3,52.6,236.8,78.9,33.3,Williamson,N,N,,Week 30 - Dec 13
100385,2020-12-13,145881,UPTOWN HEALTH CENTER,4920 NORTH KENMORE,CHICAGO,IL,60640,Y,Y,0.0,20.0,2.0,87.0,,0.0,0.0,20.0,0.0,14.0,310.0,188.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,2.0,33.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,10.6,0.0,462.8,74.5,16.1,Cook,N,N,POINT (-87.656314 41.971938),Week 30 - Dec 13
100394,2020-12-13,145994,INVERNESS HEALTH & REHAB,1800 COLONIAL PARKWAY,INVERNESS,IL,60067,Y,Y,6.0,40.0,3.0,109.0,,10.0,4.0,52.0,2.0,34.0,140.0,115.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,5.0,77.0,0.0,18.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,26.1,17.4,947.8,295.7,31.2,Cook,Y,N,POINT (-88.078009 42.082937),Week 30 - Dec 13
100397,2020-12-13,145986,LAKE FOREST PLACE,1100 PEMBRIDGE DRIVE,LAKE FOREST,IL,60045,Y,Y,0.0,14.0,0.0,12.0,,18.0,1.0,5.0,0.0,2.0,50.0,42.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,2.0,8.0,,2.0,33.0,0.0,37.0,0.0,2.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,285.7,47.6,16.7,Lake,N,N,POINT (-87.869609 42.260617),Week 30 - Dec 13
100409,2020-12-13,145757,INTEGRITY HC OF CARBONDALE,120 NORTH TOWER ROAD,CARBONDALE,IL,62901,Y,Y,4.0,114.0,0.0,46.0,,0.0,3.0,20.0,3.0,12.0,131.0,72.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,3.0,,0.0,30.0,0.0,13.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,41.7,638.9,166.7,26.1,Jackson,N,N,POINT (-89.255752 37.727693),Week 30 - Dec 13
100412,2020-12-13,145840,TABOR HILLS HEALTH CARE FAC,1347 CRYSTAL COURT,NAPERVILLE,IL,60563,Y,Y,0.0,10.0,0.0,40.0,,7.0,0.0,13.0,0.0,6.0,169.0,102.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,4.0,,3.0,30.0,0.0,3.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,392.2,58.8,15.0,DuPage,N,N,,Week 30 - Dec 13
100414,2020-12-13,145713,MOMENCE MEADOWS NURSING & REHAB,500 SOUTH WALNUT,MOMENCE,IL,60954,Y,Y,1.0,101.0,2.0,47.0,,0.0,0.0,20.0,0.0,2.0,140.0,68.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,13.0,43.0,,1.0,17.0,0.0,2.0,0.0,0.0,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,29.4,0.0,691.2,29.4,4.3,Kankakee,N,N,POINT (-87.660205 41.154647000000004),Week 30 - Dec 13
100461,2020-12-13,145701,BELLA TERRA STREAMWOOD,815 EAST IRVING PARK ROAD,STREAMWOOD,IL,60107,Y,Y,2.0,59.0,11.0,78.0,,100.0,3.0,17.0,0.0,4.0,214.0,110.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,8.0,67.0,0.0,97.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,100.0,0.0,709.1,36.4,5.1,Cook,Y,N,POINT (-88.162616 42.009511),Week 30 - Dec 13
100533,2020-12-13,145811,APERION CARE PEORIA HEIGHTS,1629 GARDNER LANE,PEORIA HEIGHTS,IL,61616,Y,Y,0.0,1.0,1.0,8.0,,0.0,0.0,0.0,0.0,0.0,110.0,81.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,4.0,1.0,,1.0,11.0,0.0,0.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,12.3,0.0,98.8,0.0,0.0,Peoria,N,N,POINT (-89.568068 40.758109),Week 30 - Dec 13
100535,2020-12-13,145661,SYMPHONY OF CHICAGO WEST,5130 WEST JACKSON BOULEVARD,CHICAGO,IL,60644,Y,Y,0.0,9.0,0.0,23.0,,1.0,1.0,22.0,0.0,2.0,234.0,214.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,1.0,3.0,,1.0,21.0,0.0,11.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,107.5,9.3,8.7,Cook,N,N,POINT (-87.75404 41.876683),Week 30 - Dec 13
100607,2020-12-13,145984,ALDEN NORTH SHORE REHAB & HCC,5050 WEST TOUHY AVENUE,SKOKIE,IL,60077,Y,Y,0.0,3.0,0.0,8.0,,2.0,0.0,3.0,0.0,2.0,93.0,35.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,1.0,3.0,,2.0,14.0,0.0,1.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,228.6,57.1,25.0,Cook,N,N,POINT (-87.754504 42.011854),Week 30 - Dec 13
100630,2020-12-13,145667,AVANTARA PARK RIDGE,1601 NORTH WESTERN AVENUE,PARK RIDGE,IL,60068,Y,N,1.0,9.0,23.0,51.0,,3.0,0.0,25.0,0.0,4.0,154.0,114.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,20.0,72.0,0.0,1.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,201.8,0.0,447.4,35.1,7.8,Cook,Y,N,POINT (-87.845452 42.036824),Week 30 - Dec 13
